Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 20.4 0.605903 0.0884286 0.239562 0.0661058 1 
1 20.6 0.603872 0.0887698 0.240812 0.0665467 1 
1 20.8 0.602628 0.0883203 0.24206 0.0669914 1 
1 21 0.601601 0.0876237 0.243342 0.0674333 1 
1 21.2 0.600148 0.0873355 0.244658 0.0678584 1 
1 21.4 0.597846 0.0879088 0.24598 0.0682657 1 
1 21.6 0.594691 0.0893783 0.247259 0.0686716 1 
1 21.8 0.591111 0.0913472 0.248454 0.0690873 1 
1 22 0.587762 0.0931832 0.249549 0.0695054 1 
1 22.2 0.585195 0.0943245 0.250563 0.0699172 1 
1 22.4 0.583583 0.0945458 0.251541 0.0703307 1 
1 22.6 0.582653 0.0940602 0.252532 0.0707547 1 
1 22.8 0.581841 0.093413 0.25357 0.071176 1 
1 23 0.580556 0.0932198 0.25465 0.0715744 1 
1 23.2 0.578435 0.0938723 0.255739 0.0719541 1 
1 23.4 0.575524 0.095352 0.256785 0.0723391 1 
1 23.6 0.572271 0.0972426 0.257749 0.0727372 1 
1 23.8 0.569313 0.0989351 0.258619 0.0731322 1 
1 24 0.567142 0.0999217 0.259419 0.0735168 1 
1 24.2 0.565857 0.100036 0.260199 0.0739084 1 
1 24.4 0.565149 0.0995264 0.261009 0.074316 1 
1 24.6 0.564472 0.0989344 0.261876 0.0747174 1 
1 24.8 0.563283 0.098833 0.262794 0.0750895 1 
1 25 0.561277 0.0995541 0.263723 0.0754455 1 
1 25.2 0.558544 0.101031 0.26461 0.0758146 1 
1 25.4 0.55555 0.102835 0.265418 0.0761965 1 
1 25.6 0.552909 0.104385 0.266138 0.0765681 1 
1 25.8 0.551045 0.105226 0.266801 0.0769284 1 
1 26 0.549991 0.105246 0.26746 0.0773029 1 
1 26.2 0.549413 0.104726 0.268165 0.0776966 1 
1 26.4 0.54879 0.104195 0.268938 0.0780774 1 
1 26.6 0.547627 0.104182 0.269767 0.0784243 1 
1 26.8 0.54567 0.104962 0.270608 0.078761 1 
1 27 0.54305 0.106425 0.271407 0.0791173 1 
1 27.2 0.540251 0.108137 0.272129 0.079483 1 
1 27.4 0.537852 0.109546 0.272771 0.0798311 1 
1 27.6 0.53621 0.110251 0.273369 0.0801701 1 
1 27.8 0.535298 0.110193 0.273977 0.0805315 1 
1 28 0.53477 0.109674 0.274644 0.0809118 1 
1 28.2 0.534131 0.10921 0.275389 0.081271 1 
1 28.4 0.532932 0.109282 0.276192 0.0815944 1 
1 28.6 0.530967 0.110112 0.277005 0.0819156 1 
1 28.8 0.528411 0.111553 0.277775 0.0822609 1 
1 29 0.525754 0.113168 0.278469 0.082609 1 
1 29.2 0.523535 0.11444 0.279091 0.0829339 1 
1 29.4 0.522043 0.115023 0.279679 0.0832552 1 
1 29.6 0.521202 0.114901 0.280291 0.0836061 1 
1 29.8 0.52066 0.114396 0.280972 0.0839721 1 
1 30 0.519953 0.114003 0.281735 0.0843086 1 
1 30.2 0.518675 0.114158 0.282556 0.0846108 1 
1 30.4 0.516668 0.115029 0.283383 0.0849199 1 
1 30.6 0.514142 0.11644 0.284163 0.0852542 1 
1 30.8 0.511593 0.117956 0.284868 0.0855831 1 
1 31 0.509511 0.119098 0.285505 0.0858858 1 
1 31.2 0.508118 0.11957 0.286119 0.0861927 1 
1 31.4 0.5073 0.1194 0.286766 0.0865342 1 
1 31.6 0.506707 0.118922 0.287488 0.0868843 1 
1 31.8 0.505904 0.118605 0.288293 0.0871977 1 
1 32 0.504527 0.118839 0.289152 0.0874816 1 
1 32.2 0.502465 0.119743 0.290011 0.0877807 1 
1 32.4 0.499964 0.121117 0.290817 0.088103 1 
1 32.6 0.49751 0.122533 0.291546 0.0884112 1 
1 32.8 0.495544 0.123551 0.292211 0.0886937 1 
1 33 0.494225 0.123927 0.29286 0.0889891 1 
1 33.2 0.493407 0.123724 0.293547 0.0893211 1 
1 33.4 0.492752 0.123283 0.294313 0.0896531 1 
1 33.6 0.491851 0.123046 0.295159 0.0899442 1 
1 33.8 0.490382 0.123355 0.296051 0.0902129 1 
1 34 0.488279 0.124285 0.296933 0.0905033 1 
1 34.2 0.485818 0.125615 0.297756 0.0908116 1 
1 34.4 0.483472 0.126931 0.298498 0.0910987 1 
1 34.6 0.481623 0.127834 0.299179 0.0913635 1 
